"ID","Gender","Bmonth","Byear","Grade","School1","School2","School3","Confidence","Heard_sustain","Heard_earthweek","Heard_greenthumb","Heard_bike","Heard_conference","Heard_recycle","Heard_buddies","Part_sustain","Part_earthweek","Part_greenthumb","Part_bike","Part_conference","Part_recycle","Part_buddies","Effective","More_activities","Attendance","Collaborate","Member","Office_space","Increase_rate","Work_sustain","Leadership","Manage_funds","Investigate","Solutions","Brainstorm","Comments","SAM"
254762,"Male",NA,NA,4,"SAM",NA,NA,"Confident",0,"Earth Week",NA,"Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,3,3,3,"No preference","$11-$20","no",NA,NA,NA,NA,NA,NA,1
254763,"Female",10,1996,3,"HSE","SCS",NA,"Confident",1,"Earth Week",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,"Neutral","n/a",4,4,4,"Online Office","$1-$10","yes",4,4,2,4,3,NA,0
254765,"Female",5,1997,2,"BUS",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,1,0,0,1,0,0,0,"Effective",NA,3,4,2,"No preference","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254766,"Female",9,1992,1,"SAM",NA,NA,"Confident",1,"Earth Week",NA,NA,NA,NA,NA,0,0,0,0,0,0,0,NA,NA,4,5,5,"No preference","$11-$20","yes",4,3,4,4,5,NA,1
254767,"Female",3,1996,2,"SAM",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op","ENVS Conference",NA,NA,1,1,0,1,0,0,0,"Neutral",NA,4,5,3,"No preference","$1-$10","no",NA,NA,NA,NA,NA,NA,1
254768,"Other",11,1994,2,"SCS","SAL",NA,"Neutral",1,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2,3,2,"No preference","$21-$30","no",NA,NA,NA,NA,NA,NA,0
254769,"Female",6,1994,2,"SAL",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,NA,NA,2,4,3,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254771,"Female",5,1992,3,"SAM",NA,NA,"Confident",1,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,1,1,0,0,0,0,0,"Effective","More fairs for sustainability with projects (small and large) such as making our own shampoo, or giving out free seeds",3,3,2,"No preference","$11-$20","no",NA,NA,NA,NA,NA,NA,1
254772,"Male",10,1995,3,"SAM",NA,NA,"Neutral",0,NA,NA,"Bike Co-op","ENVS Conference",NA,NA,0,0,0,0,0,0,0,NA,NA,2,3,1,"Physical Office","$1-$10","no",NA,NA,NA,NA,NA,NA,1
254773,"Female",6,1993,3,"SAL",NA,NA,"Confident",1,"Earth Week",NA,"Bike Co-op",NA,NA,NA,0,1,0,0,0,0,0,"Neutral","Quick little info tables",2,3,2,"No preference","$11-$20","no",NA,NA,NA,NA,NA,NA,0
254775,"Female",8,1993,3,"SAM",NA,NA,"Confident",1,NA,"Green Thumb","Bike Co-op",NA,NA,NA,0,0,0,0,0,0,0,"Neutral",NA,1,1,1,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,"I think sustainability is important, but as I am graduating this spring I answered I would not be willing to participate in a lot of the activities.",1
254776,"Female",8,1993,4,"BUS",NA,NA,"Extremely Confident",0,"Earth Week","Green Thumb","Bike Co-op",NA,"Recyclemania",NA,0,0,0,0,0,0,0,NA,NA,3,3,4,"No preference","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254777,"Female",2,1996,4,"HSE",NA,NA,"Neutral",1,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,0,0,1,0,0,0,0,"Effective",NA,2,3,2,"Physical Office","$1-$10","no",NA,NA,NA,NA,NA,NA,0
254782,"Female",3,1994,3,"BUS",NA,NA,"Neutral",0,"Earth Week","Green Thumb","Bike Co-op",NA,NA,NA,0,1,0,0,0,0,0,"Effective",NA,3,3,3,"Physical Office","Not willing at all","no",NA,NA,NA,NA,NA,NA,0
254785,"Female",7,1995,1,"SAM","SAL",NA,"Confident",0,NA,NA,"Bike Co-op","ENVS Conference",NA,NA,0,0,0,0,0,0,0,"Neutral",NA,3,5,5,"Physical Office","$11-$20","yes",4,2,5,5,5,NA,1
